"","Team","Opponent","Team_Outcome","Winner","Team_Score","Opp_Score","Difference","Week","OFF_Pas_Comp","OFF_pass_ATT","OFF_pass_CMP_prc","OFF_Pas_AVG","OFF_pass_YDS_pr_G","OFF_pass_TD","OFF_pass_INT","OFF_pass_SACK","OFF_pass_RTG","OFF_rush_ATT","OFF_rush_AVG","OFF_rush_YDS_pr_G","OFF_rush_TD","OFF_rush_FUM","DEF_Pas_Comp","DEF_pass_ATT","DEF_pass_CMP_prc","DEF_Pas_AVG","DEF_pass_YDS_pr_G","DEF_pass_TD","DEF_pass_INT","DEF_pass_SACK","DEF_pass_RTG","DEF_rush_ATT","DEF_rush_AVG","DEF_rush_YDS_pr_G","DEF_rush_TD","DEF_rush_FUM"
"1","Houston","Kansas City","Loss","Home",20,34,-14,"Wk 1",0.88475975975976,0.855443037974684,1.03407407407407,1.0609756097561,0.884393063583815,0.750972762645914,1.19444444444444,1.95731707317073,1.00181488203267,1.11720791340052,1.08695652173913,1.21862348178138,1.5,2,1.09986000933271,0.969489592244083,1.1342062193126,1.14492753623188,1.09561060408518,1.12865497076023,0.184210526315789,1.27932960893855,1.29181494661922,1.11720791340052,1.08695652173913,1.21862348178138,1.5,2
"2","Seattle","Atlanta","Win","Away",38,25,13,"Wk 1",0.988862370723946,0.901810762560571,1.09672386895476,1.05405405405405,0.936722750548647,1.60975609756098,1.17721518987342,1.14007782101167,1.16430903155604,1.00581636892397,0.886363636363636,0.903533906399236,1.21,0.666666666666667,1.06905561776782,1.10207792207792,0.969827586206897,0.911392405063291,1.01842196732708,0.785,1.453125,1.43,0.88953488372093,1.00581636892397,0.886363636363636,0.903533906399236,1.21,0.666666666666667
"3","New York Jets","Buffalo","Loss","Home",17,27,-10,"Wk 1",0.707825403067243,0.834054054054054,0.848617176128093,0.782051282051282,0.60394973070018,0.375545851528384,1.34375,1.45698924731183,0.700854700854701,1.07567158531971,0.869565217391304,0.92998352553542,0.775193798449612,2.07142857142857,1.13612791702679,1.05680204487362,1.07458143074581,1.11428571428571,1.1921602045164,1.36305732484076,0.825581395348837,0.703703703703704,1.14835164835165,1.07567158531971,0.869565217391304,0.92998352553542,0.775193798449612,2.07142857142857
"4","Chicago","Detroit","Win","Away",27,23,4,"Wk 1",1.03572929802438,1.03096392030156,1.00625,0.842105263157895,0.849149338374291,1,1.26582278481013,0.920454545454546,0.92102454642476,0.937479648323022,0.911111111111111,0.863073561544064,0.415204678362573,3,0.947709593777009,1.02298850574713,0.926686217008798,0.888888888888889,0.882998864066641,0.758454106280193,1.14,1.73529411764706,0.868224299065421,0.937479648323022,0.911111111111111,0.863073561544064,0.415204678362573,3
"5","Green Bay","Minnesota","Win","Away",43,34,9,"Wk 1",1.12904761904762,1.09655616350177,1.02958579881657,0.975609756097561,1.0906432748538,1.38164251207729,0.311827956989247,0.559670781893004,1.15234375,0.836847563083305,1.04651162790698,0.876592356687898,1.40845070422535,1,0.95273851590106,0.970955562009875,0.980243161094225,0.960526315789474,0.901743264659271,0.813471502590674,0.662790697674419,1.72611464968153,0.980371900826446,0.836847563083305,1.04651162790698,0.876592356687898,1.40845070422535,1
"6","Miami","New England","Loss","Home",11,21,-10,"Wk 1",1.22222222222222,1.19848430169614,1.02003081664099,0.972222222222222,1.19417475728155,2.63157894736842,0.71,0.968325791855204,1.18846153846154,0.88984214138641,1,0.902255639097744,0.934579439252336,1,1.0645,1.12633333333333,0.944527736131934,1.04054054054054,1.12099811676083,0.942148760330578,1,1.76,0.974448315911731,0.88984214138641,1,0.902255639097744,0.934579439252336,1
"7","Philadelphia","Washington","Loss","Home",17,27,-10,"Wk 1",0.879720853858785,1.00750871547332,0.872894333843798,0.96875,0.954440865163369,1.61290322580645,1.32558139534884,1.34076433121019,0.929181929181929,1.15384615384615,0.976744186046512,1.11743772241993,1.72151898734177,0.333333333333333,1.07374354156881,1,1.07378335949765,1.16666666666667,1.17432567432567,1.0979020979021,0.387096774193548,1.0979020979021,1.19953051643192,1.15384615384615,0.976744186046512,1.11743772241993,1.72151898734177,0.333333333333333
"8","Las Vegas","Carolina","Win","Away",34,30,4,"Wk 1",0.964166666666667,0.987586605080831,0.975468975468975,1.02666666666667,1.01974214343272,1.67289719626168,0.802816901408451,0.758454106280193,1.08494623655914,1.06123244929797,0.978723404255319,1.0536013400335,1.43859649122807,0,0.9116,0.996126175982291,0.914739884393064,1.05714285714286,1.08302044221944,1,1.97222222222222,0.666666666666667,0.927363184079602,1.06123244929797,0.978723404255319,1.0536013400335,1.43859649122807,0
"9","Indianapolis","Jacksonville","Loss","Home",20,27,-7,"Wk 1",0.988367262152057,0.914233576642336,1.0796178343949,1.16923076923077,1.11787398199743,1.04666666666667,0.64,0.431818181818182,1.16866028708134,0.80300657688694,0.826086956521739,0.66962457337884,0.829457364341085,1.5,0.939148936170213,1.00208519511469,0.937142857142857,0.903614457831325,0.868605079131395,0.615384615384615,1.50704225352113,1.9504132231405,0.815740740740741,0.80300657688694,0.826086956521739,0.66962457337884,0.829457364341085,1.5
"10","Cleveland","Baltimore","Loss","Home",6,38,-32,"Wk 1",1.17909535452323,1.16595579682047,1.01104100946372,1.05555555555556,1.28119608970673,1.18471337579618,0.802816901408451,0.563318777292576,1.06602768903088,1.01994415636219,0.977272727272727,1.01182893539581,1.32558139534884,0.805555555555556,0.9372,0.951494493969586,0.986259541984733,1.10606060606061,1.05431993156544,1.24,1.24561403508772,1.05932203389831,1.04510451045105,1.01994415636219,0.977272727272727,1.01182893539581,1.32558139534884,0.805555555555556
"11","Los Angeles Chargers","Cincinnati","Win","Away",16,13,3,"Wk 1",1.09804736186124,1.07830517565031,1.01702786377709,1.09230769230769,1.26109057301294,1.59504132231405,1.109375,0.603498542274052,1.09826589595376,0.974642857142857,0.978260869565218,0.96417445482866,1.50704225352113,1.5,0.960532354290959,0.948754652161466,1.01121794871795,0.972222222222222,0.906967213114754,1.03763440860215,1,1.5,1.01181525241676,0.974642857142857,0.978260869565218,0.96417445482866,1.50704225352113,1.5
"12","Tampa Bay","New Orleans","Loss","Home",23,34,-11,"Wk 1",1.07919520547945,1.17545454545455,0.918079096045198,0.972972972972973,1.15689655172414,1.27932960893855,1.83720930232558,0.704663212435233,0.930210325047801,0.898056326854423,0.894736842105263,0.813807531380753,1.12280701754386,0.5,1.30578512396694,1.13154048523823,1.15474209650582,1.07462686567164,1.21052631578947,1.07821229050279,1.0752688172043,1.07342657342657,1.11149825783972,0.898056326854423,0.894736842105263,0.813807531380753,1.12280701754386,0.5
"13","Arizona","San Francisco","Win","Away",24,20,4,"Wk 1",1.01176965111391,0.974520547945205,1.03834355828221,0.973684210526316,0.97215777262181,1.24,0.652892561983471,0.665254237288136,1.10946408209806,1,1.12820512820513,1.14367816091954,1.30985915492958,0.241379310344828,1.13809753742154,1.13101521266687,1.00622083981337,1,1.09861838970939,1,0.89873417721519,1.71508379888268,1.00768386388584,1,1.12820512820513,1.14367816091954,1.30985915492958,0.241379310344828
"14","Dallas","Los Angeles Rams","Loss","Home",17,20,-3,"Wk 1",1.04653986240389,1.1039603960396,0.947058823529412,0.945205479452055,1.00665622552858,1.0979020979021,0.918604651162791,1.7972027972028,0.968614718614719,1.30959125859976,1.31578947368421,1.71944739638682,1.63291139240506,0.583333333333333,0.941363636363636,0.918121958202119,1.02539682539683,1.18032786885246,1.15520833333333,2.06542056074766,0.537634408602151,0.592356687898089,1.29709228824273,1.30959125859976,1.31578947368421,1.71944739638682,1.63291139240506,0.583333333333333
